term,normalized_text,categories,success_count,failure_count,total_count,avg_confidence,translation_de,translation_fr,translation_es,translation_it,sources,file_count,notes,verified
CHEST,Chest,"BodyStructure, ExaminationName",0,370,370,0.97,Thorax,,,,umls,305,"Failed: 370/370; Sources: umls; Files: 305; VERIFIED: Failed 177 times, confidence: 0.95",TRUE
pneumothorax,Pneumothorax,Diagnosis,346,0,346,0.936,Pneumothorax,,,,umls,296,Success: 346/346; Sources: umls; Files: 296,FALSE
pneumonia,Pneumonia,Diagnosis,181,0,181,0.981,Pneumonie,,,,umls,126,Success: 181/181; Sources: umls; Files: 126,FALSE
consolidation,Consolidation,SymptomOrSign,0,165,165,0.944,Konsolidierung,,,,umls,143,"Failed: 165/165; Sources: umls; Files: 143; VERIFIED: Failed 163 times, confidence: 0.94",TRUE
pleural effusion,Pleural effusion (disorder),"Diagnosis, SymptomOrSign",150,0,150,0.965,Pleuraerguss,,,,umls,122,Success: 150/150; Sources: umls; Files: 122,FALSE
atelectasis,Atelectasis,"Diagnosis, ExaminationName, SymptomOrSign",129,0,129,0.876,Atelektase,,,,umls,89,Success: 129/129; Sources: umls; Files: 89,FALSE
PA,Pulmonary artery pressure,ExaminationName,0,128,128,0.955,Posteroanterior,,,,umls,105,"Failed: 128/128; Sources: umls; Files: 105; VERIFIED: Failed 128 times, confidence: 0.95",TRUE
pulmonary edema,Pulmonary Edema,"Diagnosis, ExaminationName",117,0,117,0.916,Lungenödem,,,,umls,87,Success: 117/117; Sources: umls; Files: 87,FALSE
CHEST RADIOGRAPH,Chest radiograph,ExaminationName,0,110,110,0.98,Röntgenaufnahme der Brust,,,,,97,"Failed: 110/110; Files: 97; VERIFIED: Failed 56 times, confidence: 0.98",TRUE
opacity,Abnormally opaque structure (morphologic abnormality),SymptomOrSign,0,96,96,0.99,Opazität,,,,umls,63,"Failed: 96/96; Sources: umls; Files: 63; VERIFIED: Failed 96 times, confidence: 0.99",TRUE
lung,Lung,"BodyStructure, SymptomOrSign",0,90,90,0.96,Lunge,,,,umls,68,"Failed: 90/90; Sources: umls; Files: 68; VERIFIED: Failed 88 times, confidence: 0.96",TRUE
man,Male population group,Gender,0,88,88,1,Mann,,,,umls,88,"Failed: 88/88; Sources: umls; Files: 88; VERIFIED: Failed 88 times, confidence: 1.0",TRUE
cough,Coughing,SymptomOrSign,0,79,79,0.993,Husten,,,,umls,75,"Failed: 79/79; Sources: umls; Files: 75; VERIFIED: Failed 68 times, confidence: 0.99",TRUE
