term,normalized_text,categories,success_count,failure_count,total_count,avg_confidence,translation_de,translation_fr,translation_es,translation_it,sources,file_count,notes,verified
CHEST,Chest,"BodyStructure, ExaminationName",0,370,370,0.97,,,,,umls,305,Failed: 370/370; Sources: umls; Files: 305,FALSE
man,Male population group,Gender,0,88,88,0.996,,,,,umls,88,Failed: 88/88; Sources: umls; Files: 88,FALSE
COPD,Chronic Obstructive Airway Disease,Diagnosis,15,0,15,0.999,Chronisch obstruktive Lungenerkrankung,,,,umls,13,Success: 15/15; Sources: umls; Files: 13,FALSE
mucous plugging,Mucous plugging,SymptomOrSign,0,1,1,1.0,,,,,,1,Failed: 1/1; Files: 1,FALSE
effusion,effusion,"Diagnosis, SymptomOrSign",0,59,59,0.946,,,,,umls,49,Failed: 59/59; Sources: umls; Files: 49,FALSE
lobar collapse,Atelectasis,SymptomOrSign,1,0,1,0.97,Atelektase,,,,umls,1,Success: 1/1; Sources: umls; Files: 1,FALSE
radiograph,Diagnostic radiologic examination,ExaminationName,0,58,58,0.965,,,,,umls,55,Failed: 58/58; Sources: umls; Files: 55,FALSE
collapse,Collapse (finding),SymptomOrSign,10,0,10,0.985,Kollaps,,,,umls,7,Success: 10/10; Sources: umls; Files: 7,FALSE
lung,Lung,"BodyStructure, SymptomOrSign",0,90,90,0.958,,,,,umls,68,Failed: 90/90; Sources: umls; Files: 68,FALSE
pleural effusion,Pleural effusion (disorder),"Diagnosis, SymptomOrSign",150,0,150,0.965,Pleuraerguss,,,,umls,122,Success: 150/150; Sources: umls; Files: 122,FALSE
ventilated,Ventilated,SymptomOrSign,0,1,1,0.89,,,,,,1,Failed: 1/1; Files: 1,FALSE
abnormalities,Abnormal,SymptomOrSign,6,0,6,0.955,Abnorm,,,,umls,5,Success: 6/6; Sources: umls; Files: 5,FALSE
Thrombocytopenia,Thrombocytopenia,Diagnosis,2,0,2,0.95,Thrombozytopenie,,,,umls,2,Success: 2/2; Sources: umls; Files: 2,FALSE
PA,Pulmonary artery pressure,ExaminationName,0,128,128,0.955,,,,,umls,105,Failed: 128/128; Sources: umls; Files: 105,FALSE
dual-chamber pacemaker,dual-chamber pacemaker (procedure),TreatmentName,0,2,2,0.93,,,,,,2,Failed: 2/2; Files: 2,FALSE
leads,Lead Device,TreatmentName,0,5,5,0.962,,,,,,5,Failed: 5/5; Files: 5,FALSE
